Date,NVDA
9/3/2019,164.17
9/4/2019,168.76
9/5/2019,179.74
9/6/2019,178.65
9/9/2019,180.5
9/10/2019,183.18
9/11/2019,184.33
9/12/2019,184.27
9/13/2019,181.94
9/16/2019,180.21
9/17/2019,181.07
9/18/2019,179.98
9/19/2019,176.94
9/20/2019,172.69
9/23/2019,174.84
9/24/2019,172.53
9/25/2019,178.23
9/26/2019,177.34
9/27/2019,171.76
9/30/2019,174.07
10/1/2019,174
10/2/2019,173.04
10/3/2019,181.31
10/4/2019,181.97
10/7/2019,184.33
10/8/2019,177.23
10/9/2019,180.71
10/10/2019,183.03
10/11/2019,185.99
10/14/2019,186.53
10/15/2019,196.37
10/16/2019,194.21
10/17/2019,194.29
10/18/2019,190.49
10/21/2019,196.01
10/22/2019,195.61
10/23/2019,195.09
10/24/2019,196.86
10/25/2019,204.54
10/28/2019,206.79
10/29/2019,202.92
10/30/2019,203
10/31/2019,201.02
11/1/2019,202.59
11/4/2019,210.5
11/5/2019,209.61
11/6/2019,207.63
11/7/2019,208.34
11/8/2019,207.78
11/11/2019,208.18
11/12/2019,209.61
11/13/2019,208.57
11/14/2019,209.79
11/15/2019,204.19
11/18/2019,212.28
11/19/2019,207.99
11/20/2019,211.18
11/21/2019,210.18
11/22/2019,210.89
11/25/2019,221.21
11/26/2019,217
11/27/2019,218.24
11/29/2019,216.74
12/2/2019,209.25
12/3/2019,207.66
12/4/2019,209.42
12/5/2019,208.74
12/6/2019,212.17
12/9/2019,212.17
12/10/2019,213.98
12/11/2019,217.34
12/12/2019,224.07
12/13/2019,223.99
12/16/2019,225.15
12/17/2019,228.29
12/18/2019,229.51
12/19/2019,235.46
12/20/2019,239.37
12/23/2019,238.82
12/24/2019,238.62
12/26/2019,239.19
12/27/2019,236.87
12/30/2019,232.32
12/31/2019,235.3
1/2/2020,239.91
1/3/2020,236.07
1/6/2020,237.06
1/7/2020,239.93
1/8/2020,240.38
1/9/2020,243.02
1/10/2020,244.32
1/13/2020,251.98
1/14/2020,247.28
1/15/2020,245.57
1/16/2020,248.93
1/17/2020,249.28
1/21/2020,247.94
1/22/2020,250.05
1/23/2020,252.86
1/24/2020,250.48
1/27/2020,240.2
1/28/2020,247.97
1/29/2020,245.54
1/30/2020,245.81
1/31/2020,236.43
2/3/2020,240.33
2/4/2020,247.13
2/5/2020,250.76
2/6/2020,254.25
2/7/2020,251.59
2/10/2020,262.97
2/11/2020,267.89
2/12/2020,272.54
2/13/2020,270.78
2/14/2020,289.79
2/18/2020,296.57
2/19/2020,314.7
2/20/2020,308.7
2/21/2020,294.07
2/24/2020,273.28
2/25/2020,262.05
2/26/2020,267.65
2/27/2020,252.6
2/28/2020,270.07
3/2/2020,276.43
3/3/2020,265.89
3/4/2020,284.51
3/5/2020,273.29
3/6/2020,266.04
3/9/2020,245.44
3/10/2020,261.08
3/11/2020,246.47
3/12/2020,216.31
3/13/2020,240.84
3/16/2020,196.4
3/17/2020,217.27
3/18/2020,202.82
3/19/2020,212.97
3/20/2020,205.75
3/23/2020,212.69
3/24/2020,249.18
3/25/2020,245.62
3/26/2020,257.24
3/27/2020,252.73
3/30/2020,265.59
3/31/2020,263.6
4/1/2020,243.07
4/2/2020,255.47
4/3/2020,243.91
4/6/2020,268.4
4/7/2020,259.03
4/8/2020,266.95
4/9/2020,262.95
4/13/2020,269.85
4/14/2020,283.95
4/15/2020,280.84
4/16/2020,294.7
4/17/2020,292.32
4/20/2020,287.05
4/21/2020,269.51
4/22/2020,286.15
4/23/2020,284.01
4/24/2020,289.59
4/27/2020,297.08
4/28/2020,291.36
4/29/2020,298.46
4/30/2020,292.28
5/1/2020,282.78
5/4/2020,291.29
5/5/2020,293.74
5/6/2020,297.79
5/7/2020,304.87
5/8/2020,312.5
5/11/2020,322.62
5/12/2020,312.1
5/13/2020,311.2
5/14/2020,321.22
5/15/2020,339.63
5/18/2020,350.01
5/19/2020,352.22
5/20/2020,358.8
5/21/2020,351.01
5/22/2020,361.05
5/26/2020,348.71
5/27/2020,341.01
5/28/2020,339.48
5/29/2020,355.02
6/1/2020,352.25
6/2/2020,353.01
6/3/2020,350.78
6/4/2020,350.66
6/5/2020,356.8
6/8/2020,352.2
6/9/2020,361.84
6/10/2020,374.67
6/11/2020,351.85
6/12/2020,357.3
6/15/2020,366.95
6/16/2020,362.74
6/17/2020,369.44
6/18/2020,368.72
6/19/2020,370.45
6/22/2020,381.07
6/23/2020,378
6/24/2020,369.42
6/25/2020,379.6
6/26/2020,366.2
6/29/2020,368
6/30/2020,379.91
7/1/2020,381.2
7/2/2020,384.49
7/6/2020,393.57
7/7/2020,394.87
7/8/2020,408.64
7/9/2020,420.36
7/10/2020,419.17
7/13/2020,402.09
7/14/2020,415.08
7/15/2020,409.09
7/16/2020,405.39
7/17/2020,408.06
7/20/2020,420.43
7/21/2020,413.14
7/22/2020,417.55
7/23/2020,405.19
7/24/2020,407.78
7/27/2020,416.86
7/28/2020,408.62
7/29/2020,418.62
7/30/2020,424.56
7/31/2020,424.59
8/3/2020,440.41
8/4/2020,449.11
8/5/2020,451.47
8/6/2020,453.42
8/7/2020,447.98
8/10/2020,446.6
8/11/2020,434
8/12/2020,457.61
8/13/2020,457.72
8/14/2020,462.56
8/17/2020,493.48
8/18/2020,490.43
8/19/2020,485.54
8/20/2020,485.64
8/21/2020,507.34
8/24/2020,508.81
8/25/2020,510
8/26/2020,510.92
8/27/2020,505.13
8/28/2020,525.91
8/31/2020,534.98
